run_key	position_m	input_file	duration_seconds	period_ns	gamma_center_ns	gamma_phase_sigma_ns	gamma_phase_q68_half_width_ns	gamma_phase_q90_half_width_ns	gamma_phase_roi_half_width_ns	gamma_tot_mean_ns	gamma_tot_sigma_ns	gamma_tot_q16_ns	gamma_tot_q84_ns	neutron_30mev_delay_ns	neutron_30mev_delay_mod_ns	neutron_center_30mev_ns	gamma_neutron_phase_separation_ns	neutron_raw_phase_sigma_ns	neutron_raw_phase_q68_half_width_ns	neutron_raw_phase_q90_half_width_ns
NCAL_20us_Pos_2.8m_0001	2.8	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_2.8m_0001/Folded_RF_3x/NCAL_20us_Pos_2.8m_0001_Folded_RF_3x_phase_tot_sparse.tsv	1460708.279853	38.85	0.11712399800500772	2.988416612274966	3.7201652043548945	5.164045352362004	4.0	13.540362812473271	1.8033439719171556	11.558827941215695	15.41080893380674	28.49888486938315	28.49888486938315	28.616008867388157	10.35111513061685	6.615281127494822	11.12189901446552	14.815074224935007
NCAL_20us_Pos_2.8m_0002	2.8	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_2.8m_0002/Folded_RF_3x/NCAL_20us_Pos_2.8m_0002_Folded_RF_3x_phase_tot_sparse.tsv	53327.515501	38.8495	0.09988330737495305	2.9851754801831203	3.730323849661795	5.170608492980393	4.0	13.551848575903064	1.8087387963502186	11.564203781286928	15.433457518075846	28.49888486938315	28.49888486938315	28.598768176758103	10.350615130616848	6.713008641262997	11.738561787099735	14.885679366216252
NCAL_20us_Pos_2.8m_0003	2.8	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_2.8m_0003/Folded_RF_3x/NCAL_20us_Pos_2.8m_0003_Folded_RF_3x_phase_tot_sparse.tsv	1102.886586	38.8495	0.10981385713963548	2.985907782083106	3.72404109325122	5.1639644453044475	4.0	13.55390372798422	1.8099214084833888	11.565295370663293	15.438071153735715	28.49888486938315	28.49888486938315	28.608698726522785	10.350615130616848	6.740335230422392	11.825163396307905	14.900555271175252
NCAL_20us_Pos_2.8m_0004	2.8	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_2.8m_0004/Folded_RF_3x/NCAL_20us_Pos_2.8m_0004_Folded_RF_3x_phase_tot_sparse.tsv	631.665747	38.85	0.11142232757296827	2.982087781205122	3.7139779382095006	5.164815956745069	4.0	13.552803451004834	1.8111503566086236	11.563347939558902	15.438101683659038	28.49888486938315	28.49888486938315	28.610307196956118	10.35111513061685	6.5976062873347034	11.076885100199673	14.70429396631901
NCAL_20us_Pos_2.8m_0005	2.8	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_2.8m_0005/Folded_RF_3x/NCAL_20us_Pos_2.8m_0005_Folded_RF_3x_phase_tot_sparse.tsv	4407.484197	38.85	0.12173762303805186	2.9845066754666636	3.7089188387934238	5.159782140258879	4.0	13.551676400045352	1.804214911728197	11.567291622236382	15.424651564123698	28.49888486938315	28.49888486938315	28.6206224924212	10.35111513061685	6.666422833808166	11.2017980199443	14.701475663226685
NCAL_20us_Pos_2.8m_0006	2.8	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_2.8m_0006/Folded_RF_3x/NCAL_20us_Pos_2.8m_0006_Folded_RF_3x_phase_tot_sparse.tsv	550.635744	38.85	38.82494910510324	3.0094633309075056	3.652415584040085	5.130886719002102	4.0	13.56726554637226	1.812070598649639	11.574868658014035	15.45494640338505	28.49888486938315	28.49888486938315	28.47383397448639	10.351115130616847	6.768597696705617	11.611417940495224	14.608019300817974
NCAL_20us_Pos_3.4m_0000	3.4	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_3.4m_0000/Folded_RF_3x/NCAL_20us_Pos_3.4m_0000_Folded_RF_3x_phase_tot_sparse.tsv	8040.332979	38.85	0.621728607808456	2.6919796253830506	2.8678236986807724	4.628386257532768	4.0	13.797121565344096	1.8473429658350116	11.862401854217898	15.755285195815642	34.60578876996526	34.60578876996526	35.227517377773715	4.244211230034747	9.68988226586873	14.340659336214324	15.412957298863196
NCAL_20us_Pos_3.4m_0001	3.4	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_3.4m_0001/Folded_RF_3x/NCAL_20us_Pos_3.4m_0001_Folded_RF_3x_phase_tot_sparse.tsv	937540.257801	38.85	0.6388886891513339	2.6917396752196243	2.8528964594332407	4.624673388150406	4.0	13.783019079366323	1.8504773841080582	11.838312495097655	15.750709608471777	34.60578876996526	34.60578876996526	35.244677459116595	4.244211230034747	9.524174389696972	14.339157453525884	15.399293572988432
NCAL_20us_Pos_4m_0000	4.0	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_4m_0000/Folded_RF_3x/NCAL_20us_Pos_4m_0000_Folded_RF_3x_phase_tot_sparse.tsv	843387.499685	38.8545	36.45845744093309	3.0586349753434208	3.682776458780282	5.243091340414184	4.0	13.534492778142004	1.701243263504397	11.708293755101865	15.100214137236843	40.712692670547355	1.8581926705473535	38.31665011148044	1.8581926705473535	4.459930064496036	11.703282914953476	14.27918931088244
NCAL_20us_Pos_4m_0001	4.0	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_4m_0001/Folded_RF_3x/NCAL_20us_Pos_4m_0001_Folded_RF_3x_phase_tot_sparse.tsv	438084.311463	38.85	36.24327003763371	3.0351188826893254	3.684668764243122	5.250069374572057	4.0	13.532825050154004	1.704740004831622	11.700501771389014	15.104355814234642	40.712692670547355	1.8626926705473537	38.10596270818106	1.8626926705473537	4.291580736620536	11.81488631987575	14.30886551749907
NCAL_20us_Pos_5m_0000	5.0	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_5m_0000/Folded_RF_3x/NCAL_20us_Pos_5m_0000_Folded_RF_3x_phase_tot_sparse.tsv	4101.636656	38.8495	37.19242726431343	2.689782803859331	3.054164021943696	4.590136326074975	4.0	13.337430614699512	1.5160525713867106	11.672686680732628	14.810658441113201	50.8908658381842	12.041365838184198	10.38429310249763	12.041365838184198	3.8277287034998535	11.294072724927716	13.919281787426431
NCAL_20us_Pos_5m_0001	5.0	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_5m_0001/Folded_RF_3x/NCAL_20us_Pos_5m_0001_Folded_RF_3x_phase_tot_sparse.tsv	1570.671585	38.8495	37.09079495095368	2.7010776467180926	3.2184795905602397	4.553306127279081	4.0	13.338322146166469	1.5176887636096832	11.670677500142297	14.81309176058483	50.8908658381842	12.041365838184198	10.282660789137879	12.041365838184198	3.8204855525654535	11.391150836338346	14.006375116563612
NCAL_20us_Pos_5.8m_0000	5.8	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_5.8m_0000/Folded_RF_3x/NCAL_20us_Pos_5.8m_0000_Folded_RF_3x_phase_tot_sparse.tsv	155626.467306	38.8495	37.89686182641479	2.719876844496015	3.574835342712277	5.046173150462786	4.0	13.319664247872657	1.5954995275170392	11.555354904243986	14.848766772246368	59.033404372293674	20.183904372293675	19.231266198708468	18.665595627706324	4.464889310344764	9.771390135898661	11.635039764446173
NCAL_20us_Pos_6.6m_0000	6.6	/data6/Dogma_analysis_by_Dachi/Results/NCAL_20us_Pos_6.6m_0000/Folded_RF_3x/NCAL_20us_Pos_6.6m_0000_Folded_RF_3x_phase_tot_sparse.tsv	2803.867493	38.85	0.8103414188933076	2.7668484136108935	3.5666713967921346	5.03977987843977	4.0	13.520292725504877	1.7563825913641748	11.639712558115901	15.236223563896608	67.17594290640314	28.325942906403135	29.136284325296444	10.524057093596863	5.193726989057597	3.7486404089778467	14.108209877511502
