run_key	position_m	duration_seconds	period_ns	gamma_center_ns	gamma_phase_roi_half_width_ns	gamma_phase_sigma_ns	gamma_tot_mean_ns	gamma_tot_sigma_ns	neutron_center_30mev_ns	neutron_phase_roi_half_width_ns	neutron_raw_phase_q68_half_width_ns	neutron_width_source	gamma_neutron_phase_separation_ns	gamma_neutron_overlap_ns	component_status	local_background_counts	local_background_bins	local_background_density_per_bin	local_background_rate_per_bin_hz	gamma_raw_counts	gamma_roi_bins	gamma_background_counts	gamma_background_fraction	gamma_net_counts	gamma_rate_hz	neutron_raw_counts	neutron_roi_bins	neutron_background_counts	neutron_background_fraction	neutron_net_counts	neutron_rate_hz	neutron_tot_mean_ns	neutron_tot_sigma_ns	neutron_tot_q16_ns	neutron_tot_q84_ns
NCAL_20us_Pos_2.8m_0001	2.8	1460708.279853	38.85	0.11712399800500772	4.0	2.988416612274966	13.540362812473271	1.8033439719171556	28.616008867388157	5.351115130616851	11.12189901446552	constant_median_separated_runs_nonmonotonic_widths	10.35111513061685	0.0	close_to_gamma_tail	1989192.0	25080	79.31387559808613	5.4298230996587466e-05	5985792.0	7440	590095.2344497608	0.0985826494555375	5395696.765550239	3.693890724089851	2900744.0	28380	2250927.7894736845	0.7759829166150769	649816.2105263155	0.44486378251495257	13.582218906597756	2.7685335185042748	10.585983638457568	16.695734396597555
NCAL_20us_Pos_2.8m_0002	2.8	53327.515501	38.8495	0.09988330737495305	4.0	2.9851754801831203	13.551848575903064	1.8087387963502186	28.598768176758103	5.350615130616848	11.738561787099735	constant_median_separated_runs_nonmonotonic_widths	10.350615130616848	0.0	close_to_gamma_tail	1946484.0	25080	77.611004784689	0.001455365097277664	5952474.0	7680	596052.5167464116	0.10013525749905192	5356421.483253589	100.44385966477559	2693440.0	27720	2151377.0526315793	0.7987469751067703	542062.9473684207	10.164789082631383	13.556035627301886	2.7790884224973773	10.54948243032716	16.690015723888518
NCAL_20us_Pos_2.8m_0003	2.8	1102.886586	38.8495	0.10981385713963548	4.0	2.985907782083106	13.55390372798422	1.8099214084833888	28.608698726522785	5.350615130616848	11.825163396307905	constant_median_separated_runs_nonmonotonic_widths	10.350615130616848	0.0	close_to_gamma_tail	2005200.0	25080	79.95215311004785	0.07249354024698224	6117998.0	7680	614032.5358851674	0.10036494550752835	5503965.464114833	4990.509027838364	2758702.0	27720	2216273.6842105263	0.8033755310325386	542428.3157894737	491.82601608817976	13.550487765623112	2.7769297155979857	10.549954807041301	16.676725802082125
NCAL_20us_Pos_2.8m_0004	2.8	631.665747	38.85	0.11142232757296827	4.0	2.982087781205122	13.552803451004834	1.8111503566086236	28.610307196956118	5.351115130616851	11.076885100199673	constant_median_separated_runs_nonmonotonic_widths	10.35111513061685	0.0	close_to_gamma_tail	1169324.0	25080	46.6237639553429	0.07381081557259571	3568352.0	7680	358070.50717703346	0.10034618422650946	3210281.4928229665	5082.247229756732	1604034.0	27720	1292410.7368421052	0.8057252756750201	311623.26315789483	493.3356995181422	13.54753945365248	2.775946556096998	10.548902110478988	16.675577314211214
NCAL_20us_Pos_2.8m_0005	2.8	4407.484197	38.85	0.12173762303805186	4.0	2.9845066754666636	13.551676400045352	1.804214911728197	28.6206224924212	5.351115130616851	11.2017980199443	constant_median_separated_runs_nonmonotonic_widths	10.35111513061685	0.0	close_to_gamma_tail	8154812.0	25080	325.15199362041466	0.07377269641527762	24359818.0	7440	2419130.8325358853	0.09930824739888801	21940687.167464115	4978.052373369432	11753830.0	28380	9227813.578947367	0.7850899305968665	2526016.421052633	573.1197908257941	13.579427582328485	2.7733467497839426	10.579924136048055	16.695303576701775
NCAL_20us_Pos_2.8m_0006	2.8	550.635744	38.85	38.82494910510324	4.0	3.0094633309075056	13.56726554637226	1.812070598649639	28.47383397448639	5.351115130616847	11.611417940495224	constant_median_separated_runs_nonmonotonic_widths	10.351115130616847	0.0	close_to_gamma_tail	837734.0	24420	34.305241605241605	0.06230115276577759	2623120.0	7680	263464.25552825554	0.1004392690872913	2359655.7444717446	4285.329766880779	1187880.0	28380	973582.7567567568	0.819596892579012	214297.2432432432	389.18149716637936	13.528426608748358	2.781228005979438	10.520859389986573	16.669481283914283
NCAL_20us_Pos_3.4m_0000	3.4	8040.332979	38.85	0.621728607808456	4.0	2.6919796253830506	13.797121565344096	1.8473429658350116	35.227517377773715	10.53273143041319	14.340659336214324	constant_median_separated_runs_nonmonotonic_widths	4.244211230034747	10.288520200378443	gamma_neutron_roi_overlap	11304482.0	33000	342.56006060606063	0.04260520820478082	27413372.0	7440	2548646.850909091	0.09297093589614189	24864725.14909091	3092.499429318835	44064282.0	55440	18991529.76	0.4309960107826108	25072752.24	3118.3723740653304	13.290156424198628	2.4326779889020735	10.670558365950388	15.696713564386668
NCAL_20us_Pos_3.4m_0001	3.4	937540.257801	38.85	0.6388886891513339	4.0	2.6917396752196243	13.783019079366323	1.8504773841080582	35.244677459116595	10.53273143041319	14.339157453525884	constant_median_separated_runs_nonmonotonic_widths	4.244211230034747	10.288520200378443	gamma_neutron_roi_overlap	455468.0	33000	13.802060606060605	1.4721565811406678e-05	1124356.0	7680	105999.82545454545	0.0942760348631087	1018356.1745454546	1.0861999429592584	1777046.0	55440	765186.24	0.43059450346248773	1011859.76	1.0792707316625703	13.278654745009415	2.4299609224965146	10.664752214080918	15.685403392579577
NCAL_20us_Pos_4m_0000	4.0	843387.499685	38.8545	36.45845744093309	4.0	3.0586349753434208	13.534492778142004	1.701243263504397	38.31665011148044	10.53273143041319	11.703282914953476	constant_median_separated_runs_nonmonotonic_widths	1.8581926705473535	12.674538759865836	gamma_neutron_roi_overlap	11296272.0	33000	342.31127272727275	0.0004058766259342519	20368858.0	7680	2628950.5745454547	0.12906715607450622	17739907.425454546	21.034112352957912	45680688.0	55440	18977736.96	0.415443326072497	26702951.04	31.661544722886436	13.268347341878913	2.4175685464240613	10.676543931477765	15.615394721714674
NCAL_20us_Pos_4m_0001	4.0	438084.311463	38.85	36.24327003763371	4.0	3.0351188826893254	13.532825050154004	1.704740004831622	38.10596270818106	10.53273143041319	11.81488631987575	constant_median_separated_runs_nonmonotonic_widths	1.8626926705473537	12.670038759865836	gamma_neutron_roi_overlap	2369866.0	33000	71.81412121212121	0.00016392762610533825	4290784.0	7680	551532.4509090909	0.12853885231908457	3739251.549090909	8.535460986045196	9619788.0	55440	3981374.88	0.41387345334429404	5638413.12	12.870611826226542	13.266591841732897	2.41707496233312	10.67920919199407	15.607808178474878
